2026-01-03 00:05:31.863 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=2 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:05:36.450 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=0 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:05:40.563 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=1 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:05:44.611 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=2 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:05:49.230 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=0 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:05:53.314 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=1 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:05:57.411 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=2 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:06:01.979 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=0 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:06:06.080 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=1 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:06:10.191 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=2 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:06:14.794 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=0 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:06:18.897 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=1 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:06:23.004 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=2 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:06:27.609 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=0 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:06:31.700 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=1 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:06:35.785 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=2 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:06:40.417 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=0 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:06:44.500 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=1 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:06:48.586 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=2 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:06:53.185 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=0 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:06:57.365 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=1 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:07:01.466 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=2 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:07:06.071 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=0 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:07:10.166 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=1 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:07:14.258 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=2 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:07:18.826 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=0 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:07:22.924 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=1 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:07:26.994 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=2 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:07:31.610 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=0 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:07:35.695 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=1 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:07:39.976 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=2 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:07:44.545 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=0 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:07:48.644 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=1 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:07:53.025 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=2 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:07:57.655 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=0 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:08:01.711 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=1 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:08:05.793 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=2 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:08:10.392 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=0 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:08:14.479 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=1 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:08:18.576 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=2 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:08:23.159 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=0 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:08:27.256 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=1 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:08:31.366 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=2 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:08:35.928 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=0 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:08:40.033 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=1 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:08:44.138 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=2 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:08:48.716 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=0 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:08:52.814 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=1 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:08:56.907 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=2 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:09:01.497 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=0 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:09:05.594 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=1 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:09:09.708 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=2 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:09:14.296 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=0 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:09:18.356 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=1 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:09:23.234 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=2 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:09:27.860 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=0 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
2026-01-03 00:09:31.924 [ERROR] [ERROR] worker - error -  Error processing queue: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it. | worker_id=1 error_type=ConnectionError component=worker subcomponent=error service_name=worker environment=dev
